bt_date_bt_time,Date,Time,uid,In Kitchen,,
28-03-19 16:13:20:000000,28-03-19,16:13:20:000000,kitchen,0,,
28-03-19 16:14:00:000000,28-03-19,16:14:00:000000,kitchen,0,,
28-03-19 16:14:40:000000,28-03-19,16:14:40:000000,kitchen,0,,
28-03-19 16:15:20:000000,28-03-19,16:15:20:000000,kitchen,0,,
28-03-19 16:16:00:000000,28-03-19,16:16:00:000000,kitchen,0,,
28-03-19 16:16:40:000000,28-03-19,16:16:40:000000,kitchen,0,,
28-03-19 16:17:20:000000,28-03-19,16:17:20:000000,kitchen,0,,
28-03-19 16:18:00:000000,28-03-19,16:18:00:000000,kitchen,0,,
28-03-19 16:18:40:000000,28-03-19,16:18:40:000000,kitchen,0,,
28-03-19 16:19:20:000000,28-03-19,16:19:20:000000,kitchen,0,,
28-03-19 16:20:00:000000,28-03-19,16:20:00:000000,kitchen,0,,
28-03-19 16:20:40:000000,28-03-19,16:20:40:000000,kitchen,0,,
28-03-19 16:21:20:000000,28-03-19,16:21:20:000000,kitchen,0,,
28-03-19 16:22:00:000000,28-03-19,16:22:00:000000,kitchen,0,,
28-03-19 16:22:40:000000,28-03-19,16:22:40:000000,kitchen,0,,
28-03-19 16:23:20:000000,28-03-19,16:23:20:000000,kitchen,0,,
28-03-19 16:24:00:000000,28-03-19,16:24:00:000000,kitchen,0,,
28-03-19 16:24:40:000000,28-03-19,16:24:40:000000,kitchen,0,,
28-03-19 16:25:20:000000,28-03-19,16:25:20:000000,kitchen,0,,
28-03-19 16:26:00:000000,28-03-19,16:26:00:000000,kitchen,0,,
28-03-19 16:26:40:000000,28-03-19,16:26:40:000000,kitchen,0,,
28-03-19 16:27:20:000000,28-03-19,16:27:20:000000,kitchen,0,,
28-03-19 16:28:00:000000,28-03-19,16:28:00:000000,kitchen,0,,
28-03-19 16:28:40:000000,28-03-19,16:28:40:000000,kitchen,0,,
28-03-19 16:29:20:000000,28-03-19,16:29:20:000000,kitchen,0,,
28-03-19 16:30:00:000000,28-03-19,16:30:00:000000,kitchen,0,,
28-03-19 16:30:40:000000,28-03-19,16:30:40:000000,kitchen,0,,
28-03-19 16:31:20:000000,28-03-19,16:31:20:000000,kitchen,0,,
28-03-19 16:32:00:000000,28-03-19,16:32:00:000000,kitchen,0,,
28-03-19 16:32:40:000000,28-03-19,16:32:40:000000,kitchen,0,,
28-03-19 16:33:20:000000,28-03-19,16:33:20:000000,kitchen,0,,
28-03-19 16:34:00:000000,28-03-19,16:34:00:000000,kitchen,0,,
28-03-19 16:34:40:000000,28-03-19,16:34:40:000000,kitchen,0,,
28-03-19 16:35:20:000000,28-03-19,16:35:20:000000,kitchen,0,,
28-03-19 16:36:00:000000,28-03-19,16:36:00:000000,kitchen,0,,
28-03-19 16:36:40:000000,28-03-19,16:36:40:000000,kitchen,0,,
28-03-19 16:37:20:000000,28-03-19,16:37:20:000000,kitchen,0,,
28-03-19 16:38:00:000000,28-03-19,16:38:00:000000,kitchen,0,,
28-03-19 16:38:40:000000,28-03-19,16:38:40:000000,kitchen,0,,
28-03-19 16:39:20:000000,28-03-19,16:39:20:000000,kitchen,0,,
28-03-19 16:40:00:000000,28-03-19,16:40:00:000000,kitchen,0,,
28-03-19 16:40:40:000000,28-03-19,16:40:40:000000,kitchen,0,,
28-03-19 16:41:20:000000,28-03-19,16:41:20:000000,kitchen,0,,
28-03-19 16:42:00:000000,28-03-19,16:42:00:000000,kitchen,0,,
28-03-19 16:42:40:000000,28-03-19,16:42:40:000000,kitchen,0,,
28-03-19 16:43:20:000000,28-03-19,16:43:20:000000,kitchen,0,,
28-03-19 16:44:00:000000,28-03-19,16:44:00:000000,kitchen,0,,
28-03-19 16:44:40:000000,28-03-19,16:44:40:000000,kitchen,0,,
28-03-19 16:45:20:000000,28-03-19,16:45:20:000000,kitchen,0,,
28-03-19 16:46:00:000000,28-03-19,16:46:00:000000,kitchen,0,,
28-03-19 16:46:40:000000,28-03-19,16:46:40:000000,kitchen,0,,
28-03-19 16:47:20:000000,28-03-19,16:47:20:000000,kitchen,0,,
28-03-19 16:48:00:000000,28-03-19,16:48:00:000000,kitchen,0,,
28-03-19 16:48:40:000000,28-03-19,16:48:40:000000,kitchen,0,,
28-03-19 16:49:20:000000,28-03-19,16:49:20:000000,kitchen,0,,
28-03-19 16:50:00:000000,28-03-19,16:50:00:000000,kitchen,0,,
28-03-19 16:50:40:000000,28-03-19,16:50:40:000000,kitchen,0,,
28-03-19 16:51:20:000000,28-03-19,16:51:20:000000,kitchen,0,,
28-03-19 16:52:00:000000,28-03-19,16:52:00:000000,kitchen,0,,
28-03-19 16:52:40:000000,28-03-19,16:52:40:000000,kitchen,0,,
28-03-19 16:53:20:000000,28-03-19,16:53:20:000000,kitchen,0,,
28-03-19 16:54:00:000000,28-03-19,16:54:00:000000,kitchen,0,,
28-03-19 16:54:40:000000,28-03-19,16:54:40:000000,kitchen,0,,
28-03-19 16:55:20:000000,28-03-19,16:55:20:000000,kitchen,0,,
28-03-19 16:56:00:000000,28-03-19,16:56:00:000000,kitchen,0,,
28-03-19 16:56:40:000000,28-03-19,16:56:40:000000,kitchen,0,,
28-03-19 16:57:20:000000,28-03-19,16:57:20:000000,kitchen,0,,
28-03-19 16:58:00:000000,28-03-19,16:58:00:000000,kitchen,0,,
28-03-19 16:58:40:000000,28-03-19,16:58:40:000000,kitchen,0,,
28-03-19 16:59:20:000000,28-03-19,16:59:20:000000,kitchen,0,,
28-03-19 17:00:00:000000,28-03-19,17:00:00:000000,kitchen,0,,
28-03-19 17:00:40:000000,28-03-19,17:00:40:000000,kitchen,0,,
28-03-19 17:01:20:000000,28-03-19,17:01:20:000000,kitchen,0,,
28-03-19 17:02:00:000000,28-03-19,17:02:00:000000,kitchen,0,,
28-03-19 17:02:40:000000,28-03-19,17:02:40:000000,kitchen,0,,
28-03-19 17:03:20:000000,28-03-19,17:03:20:000000,kitchen,0,,
28-03-19 17:04:00:000000,28-03-19,17:04:00:000000,kitchen,0,,
28-03-19 17:04:40:000000,28-03-19,17:04:40:000000,kitchen,0,,
28-03-19 17:05:20:000000,28-03-19,17:05:20:000000,kitchen,0,,
28-03-19 17:06:00:000000,28-03-19,17:06:00:000000,kitchen,0,,
28-03-19 17:06:40:000000,28-03-19,17:06:40:000000,kitchen,0,,
28-03-19 17:07:20:000000,28-03-19,17:07:20:000000,kitchen,0,,
28-03-19 17:08:00:000000,28-03-19,17:08:00:000000,kitchen,0,,
28-03-19 17:08:40:000000,28-03-19,17:08:40:000000,kitchen,0,,
28-03-19 17:09:20:000000,28-03-19,17:09:20:000000,kitchen,0,,
28-03-19 17:10:00:000000,28-03-19,17:10:00:000000,kitchen,0,,
28-03-19 17:10:40:000000,28-03-19,17:10:40:000000,kitchen,0,,
28-03-19 17:11:20:000000,28-03-19,17:11:20:000000,kitchen,0,,
28-03-19 17:12:00:000000,28-03-19,17:12:00:000000,kitchen,0,,
28-03-19 17:12:40:000000,28-03-19,17:12:40:000000,kitchen,0,,
28-03-19 17:13:20:000000,28-03-19,17:13:20:000000,kitchen,0,,
28-03-19 17:14:00:000000,28-03-19,17:14:00:000000,kitchen,0,,
28-03-19 17:14:40:000000,28-03-19,17:14:40:000000,kitchen,0,,
28-03-19 17:15:20:000000,28-03-19,17:15:20:000000,kitchen,0,,
28-03-19 17:16:00:000000,28-03-19,17:16:00:000000,kitchen,0,,
28-03-19 17:16:40:000000,28-03-19,17:16:40:000000,kitchen,0,,
28-03-19 17:17:20:000000,28-03-19,17:17:20:000000,kitchen,0,,
28-03-19 17:18:00:000000,28-03-19,17:18:00:000000,kitchen,0,,
28-03-19 17:18:40:000000,28-03-19,17:18:40:000000,kitchen,0,,
28-03-19 17:19:20:000000,28-03-19,17:19:20:000000,kitchen,0,,
28-03-19 17:20:00:000000,28-03-19,17:20:00:000000,kitchen,0,,
28-03-19 17:20:40:000000,28-03-19,17:20:40:000000,kitchen,0,,
28-03-19 17:21:20:000000,28-03-19,17:21:20:000000,kitchen,0,,
28-03-19 17:22:00:000000,28-03-19,17:22:00:000000,kitchen,0,,
28-03-19 17:22:40:000000,28-03-19,17:22:40:000000,kitchen,0,,
28-03-19 17:23:20:000000,28-03-19,17:23:20:000000,kitchen,0,,
28-03-19 17:24:00:000000,28-03-19,17:24:00:000000,kitchen,0,,
28-03-19 17:24:40:000000,28-03-19,17:24:40:000000,kitchen,0,,
28-03-19 17:25:20:000000,28-03-19,17:25:20:000000,kitchen,0,,
28-03-19 17:26:00:000000,28-03-19,17:26:00:000000,kitchen,0,,
28-03-19 17:26:40:000000,28-03-19,17:26:40:000000,kitchen,0,,
28-03-19 17:27:20:000000,28-03-19,17:27:20:000000,kitchen,0,,
28-03-19 17:28:00:000000,28-03-19,17:28:00:000000,kitchen,0,,
28-03-19 17:28:40:000000,28-03-19,17:28:40:000000,kitchen,0,,
28-03-19 17:29:20:000000,28-03-19,17:29:20:000000,kitchen,0,,
28-03-19 17:30:00:000000,28-03-19,17:30:00:000000,kitchen,0,,
28-03-19 17:30:40:000000,28-03-19,17:30:40:000000,kitchen,0,,
28-03-19 17:31:20:000000,28-03-19,17:31:20:000000,kitchen,0,,
28-03-19 17:32:00:000000,28-03-19,17:32:00:000000,kitchen,0,,
28-03-19 17:32:40:000000,28-03-19,17:32:40:000000,kitchen,0,,
28-03-19 17:33:20:000000,28-03-19,17:33:20:000000,kitchen,0,,
28-03-19 17:34:00:000000,28-03-19,17:34:00:000000,kitchen,0,,
28-03-19 17:34:40:000000,28-03-19,17:34:40:000000,kitchen,0,,
28-03-19 17:35:20:000000,28-03-19,17:35:20:000000,kitchen,0,,
28-03-19 17:36:00:000000,28-03-19,17:36:00:000000,kitchen,0,,
28-03-19 17:36:40:000000,28-03-19,17:36:40:000000,kitchen,0,,
28-03-19 17:37:20:000000,28-03-19,17:37:20:000000,kitchen,0,,
28-03-19 17:38:00:000000,28-03-19,17:38:00:000000,kitchen,0,,
28-03-19 17:38:40:000000,28-03-19,17:38:40:000000,kitchen,0,,
28-03-19 17:39:20:000000,28-03-19,17:39:20:000000,kitchen,0,,
28-03-19 17:40:00:000000,28-03-19,17:40:00:000000,kitchen,0,,
28-03-19 17:40:40:000000,28-03-19,17:40:40:000000,kitchen,0,,
28-03-19 17:41:20:000000,28-03-19,17:41:20:000000,kitchen,0,,
28-03-19 17:42:00:000000,28-03-19,17:42:00:000000,kitchen,0,,
28-03-19 17:42:40:000000,28-03-19,17:42:40:000000,kitchen,0,,
28-03-19 17:43:20:000000,28-03-19,17:43:20:000000,kitchen,0,,
28-03-19 17:44:00:000000,28-03-19,17:44:00:000000,kitchen,0,,
28-03-19 17:44:40:000000,28-03-19,17:44:40:000000,kitchen,0,,
28-03-19 17:45:20:000000,28-03-19,17:45:20:000000,kitchen,0,,
28-03-19 17:46:00:000000,28-03-19,17:46:00:000000,kitchen,1,,
28-03-19 17:46:40:000000,28-03-19,17:46:40:000000,kitchen,1,,
28-03-19 17:47:20:000000,28-03-19,17:47:20:000000,kitchen,1,,
28-03-19 17:48:00:000000,28-03-19,17:48:00:000000,kitchen,1,,
28-03-19 17:48:40:000000,28-03-19,17:48:40:000000,kitchen,0,,
28-03-19 17:49:20:000000,28-03-19,17:49:20:000000,kitchen,1,,
28-03-19 17:50:00:000000,28-03-19,17:50:00:000000,kitchen,1,,
28-03-19 17:50:40:000000,28-03-19,17:50:40:000000,kitchen,0,,
28-03-19 17:51:20:000000,28-03-19,17:51:20:000000,kitchen,0,,
28-03-19 17:52:00:000000,28-03-19,17:52:00:000000,kitchen,0,,
28-03-19 17:52:40:000000,28-03-19,17:52:40:000000,kitchen,0,,
28-03-19 17:53:20:000000,28-03-19,17:53:20:000000,kitchen,0,,
28-03-19 17:54:00:000000,28-03-19,17:54:00:000000,kitchen,1,,
28-03-19 17:54:40:000000,28-03-19,17:54:40:000000,kitchen,1,,
28-03-19 17:55:20:000000,28-03-19,17:55:20:000000,kitchen,1,,
28-03-19 17:56:00:000000,28-03-19,17:56:00:000000,kitchen,0,,
28-03-19 17:56:40:000000,28-03-19,17:56:40:000000,kitchen,1,,
28-03-19 17:57:20:000000,28-03-19,17:57:20:000000,kitchen,1,,
28-03-19 17:58:00:000000,28-03-19,17:58:00:000000,kitchen,1,,
28-03-19 17:58:40:000000,28-03-19,17:58:40:000000,kitchen,0,,
28-03-19 17:59:20:000000,28-03-19,17:59:20:000000,kitchen,1,,
28-03-19 18:00:00:000000,28-03-19,18:00:00:000000,kitchen,1,,
28-03-19 18:00:40:000000,28-03-19,18:00:40:000000,kitchen,1,,
28-03-19 18:01:20:000000,28-03-19,18:01:20:000000,kitchen,1,,
28-03-19 18:02:00:000000,28-03-19,18:02:00:000000,kitchen,1,,
28-03-19 18:02:40:000000,28-03-19,18:02:40:000000,kitchen,1,,
28-03-19 18:03:20:000000,28-03-19,18:03:20:000000,kitchen,1,,
28-03-19 18:04:00:000000,28-03-19,18:04:00:000000,kitchen,1,,
28-03-19 18:04:40:000000,28-03-19,18:04:40:000000,kitchen,1,,
28-03-19 18:05:20:000000,28-03-19,18:05:20:000000,kitchen,1,,
28-03-19 18:06:00:000000,28-03-19,18:06:00:000000,kitchen,1,,
28-03-19 18:06:40:000000,28-03-19,18:06:40:000000,kitchen,1,,
28-03-19 18:07:20:000000,28-03-19,18:07:20:000000,kitchen,1,,
28-03-19 18:08:00:000000,28-03-19,18:08:00:000000,kitchen,1,,
28-03-19 18:08:40:000000,28-03-19,18:08:40:000000,kitchen,1,,
28-03-19 18:09:20:000000,28-03-19,18:09:20:000000,kitchen,1,,
28-03-19 18:10:00:000000,28-03-19,18:10:00:000000,kitchen,1,,
28-03-19 18:10:40:000000,28-03-19,18:10:40:000000,kitchen,1,,
28-03-19 18:11:20:000000,28-03-19,18:11:20:000000,kitchen,0,,
28-03-19 18:12:00:000000,28-03-19,18:12:00:000000,kitchen,0,,
28-03-19 18:12:40:000000,28-03-19,18:12:40:000000,kitchen,1,,
28-03-19 18:13:20:000000,28-03-19,18:13:20:000000,kitchen,1,,
28-03-19 18:14:00:000000,28-03-19,18:14:00:000000,kitchen,1,,
28-03-19 18:14:40:000000,28-03-19,18:14:40:000000,kitchen,1,,
28-03-19 18:15:20:000000,28-03-19,18:15:20:000000,kitchen,1,,
28-03-19 18:16:00:000000,28-03-19,18:16:00:000000,kitchen,1,,
28-03-19 18:16:40:000000,28-03-19,18:16:40:000000,kitchen,1,,
28-03-19 18:17:20:000000,28-03-19,18:17:20:000000,kitchen,1,,
28-03-19 18:18:00:000000,28-03-19,18:18:00:000000,kitchen,1,,
28-03-19 18:18:40:000000,28-03-19,18:18:40:000000,kitchen,1,,
28-03-19 18:19:20:000000,28-03-19,18:19:20:000000,kitchen,1,,
28-03-19 18:20:00:000000,28-03-19,18:20:00:000000,kitchen,1,,
28-03-19 18:20:40:000000,28-03-19,18:20:40:000000,kitchen,1,,
28-03-19 18:21:20:000000,28-03-19,18:21:20:000000,kitchen,0,,
28-03-19 18:22:00:000000,28-03-19,18:22:00:000000,kitchen,0,,
28-03-19 18:22:40:000000,28-03-19,18:22:40:000000,kitchen,0,,
28-03-19 18:23:20:000000,28-03-19,18:23:20:000000,kitchen,1,,
28-03-19 18:24:00:000000,28-03-19,18:24:00:000000,kitchen,1,,
28-03-19 18:24:40:000000,28-03-19,18:24:40:000000,kitchen,1,,
28-03-19 18:25:20:000000,28-03-19,18:25:20:000000,kitchen,1,,
28-03-19 18:26:00:000000,28-03-19,18:26:00:000000,kitchen,1,,
28-03-19 18:26:40:000000,28-03-19,18:26:40:000000,kitchen,1,,
28-03-19 18:27:20:000000,28-03-19,18:27:20:000000,kitchen,1,,
28-03-19 18:28:00:000000,28-03-19,18:28:00:000000,kitchen,1,,
28-03-19 18:28:40:000000,28-03-19,18:28:40:000000,kitchen,1,,
28-03-19 18:29:20:000000,28-03-19,18:29:20:000000,kitchen,1,,
28-03-19 18:30:00:000000,28-03-19,18:30:00:000000,kitchen,0,,
28-03-19 18:30:40:000000,28-03-19,18:30:40:000000,kitchen,0,,
28-03-19 18:31:20:000000,28-03-19,18:31:20:000000,kitchen,0,,
28-03-19 18:32:00:000000,28-03-19,18:32:00:000000,kitchen,0,,
28-03-19 18:32:40:000000,28-03-19,18:32:40:000000,kitchen,0,,
28-03-19 18:33:20:000000,28-03-19,18:33:20:000000,kitchen,0,,
28-03-19 18:34:00:000000,28-03-19,18:34:00:000000,kitchen,0,,
28-03-19 18:34:40:000000,28-03-19,18:34:40:000000,kitchen,0,,
28-03-19 18:35:20:000000,28-03-19,18:35:20:000000,kitchen,0,,
28-03-19 18:36:00:000000,28-03-19,18:36:00:000000,kitchen,0,,
28-03-19 18:36:40:000000,28-03-19,18:36:40:000000,kitchen,1,,
28-03-19 18:37:20:000000,28-03-19,18:37:20:000000,kitchen,1,,
28-03-19 18:38:00:000000,28-03-19,18:38:00:000000,kitchen,1,,
28-03-19 18:38:40:000000,28-03-19,18:38:40:000000,kitchen,1,,
28-03-19 18:39:20:000000,28-03-19,18:39:20:000000,kitchen,1,,
28-03-19 18:40:00:000000,28-03-19,18:40:00:000000,kitchen,1,,
28-03-19 18:40:40:000000,28-03-19,18:40:40:000000,kitchen,1,,
28-03-19 18:41:20:000000,28-03-19,18:41:20:000000,kitchen,1,,
28-03-19 18:42:00:000000,28-03-19,18:42:00:000000,kitchen,1,,
28-03-19 18:42:40:000000,28-03-19,18:42:40:000000,kitchen,0,,
28-03-19 18:43:20:000000,28-03-19,18:43:20:000000,kitchen,1,,
28-03-19 18:44:00:000000,28-03-19,18:44:00:000000,kitchen,1,,
28-03-19 18:44:40:000000,28-03-19,18:44:40:000000,kitchen,1,,
28-03-19 18:45:20:000000,28-03-19,18:45:20:000000,kitchen,1,,
28-03-19 18:46:00:000000,28-03-19,18:46:00:000000,kitchen,1,,
28-03-19 18:46:40:000000,28-03-19,18:46:40:000000,kitchen,1,,
28-03-19 18:47:20:000000,28-03-19,18:47:20:000000,kitchen,1,,
28-03-19 18:48:00:000000,28-03-19,18:48:00:000000,kitchen,1,,
28-03-19 18:48:40:000000,28-03-19,18:48:40:000000,kitchen,0,,
28-03-19 18:49:20:000000,28-03-19,18:49:20:000000,kitchen,0,,
28-03-19 18:50:00:000000,28-03-19,18:50:00:000000,kitchen,0,,
28-03-19 18:50:40:000000,28-03-19,18:50:40:000000,kitchen,0,,
28-03-19 18:51:20:000000,28-03-19,18:51:20:000000,kitchen,0,,
28-03-19 18:52:00:000000,28-03-19,18:52:00:000000,kitchen,0,,
28-03-19 18:52:40:000000,28-03-19,18:52:40:000000,kitchen,0,,
28-03-19 18:53:20:000000,28-03-19,18:53:20:000000,kitchen,0,,
28-03-19 18:54:00:000000,28-03-19,18:54:00:000000,kitchen,0,,
28-03-19 18:54:40:000000,28-03-19,18:54:40:000000,kitchen,0,,
28-03-19 18:55:20:000000,28-03-19,18:55:20:000000,kitchen,0,,
28-03-19 18:56:00:000000,28-03-19,18:56:00:000000,kitchen,0,,
28-03-19 18:56:40:000000,28-03-19,18:56:40:000000,kitchen,0,,
28-03-19 18:57:20:000000,28-03-19,18:57:20:000000,kitchen,0,,
