bt_date_bt_time,Date,Time,ELEC,Kettle In Use
2019-03-28 15:31:20,28-03-2019,15:31:20:000000,0.0,0
2019-03-28 15:32:00,28-03-2019,15:32:00:000000,0.0,0
2019-03-28 15:32:40,28-03-2019,15:32:40:000000,0.0,0
2019-03-28 15:33:20,28-03-2019,15:33:20:000000,0.0,0
2019-03-28 15:34:00,28-03-2019,15:34:00:000000,0.0,0
2019-03-28 15:34:40,28-03-2019,15:34:40:000000,0.0,0
2019-03-28 15:35:20,28-03-2019,15:35:20:000000,0.0,0
2019-03-28 15:36:00,28-03-2019,15:36:00:000000,0.0,0
2019-03-28 15:36:40,28-03-2019,15:36:40:000000,0.0,0
2019-03-28 15:37:20,28-03-2019,15:37:20:000000,0.0,0
2019-03-28 15:38:00,28-03-2019,15:38:00:000000,0.0,0
2019-03-28 15:38:40,28-03-2019,15:38:40:000000,0.0,0
2019-03-28 15:39:20,28-03-2019,15:39:20:000000,0.0,0
2019-03-28 15:40:00,28-03-2019,15:40:00:000000,0.0,0
2019-03-28 15:40:40,28-03-2019,15:40:40:000000,0.0,0
2019-03-28 15:41:20,28-03-2019,15:41:20:000000,0.0,0
2019-03-28 15:42:00,28-03-2019,15:42:00:000000,0.0,0
2019-03-28 15:42:40,28-03-2019,15:42:40:000000,0.0,0
2019-03-28 15:43:20,28-03-2019,15:43:20:000000,0.0,0
2019-03-28 15:44:00,28-03-2019,15:44:00:000000,0.0,0
2019-03-28 15:44:40,28-03-2019,15:44:40:000000,0.0,0
2019-03-28 15:45:20,28-03-2019,15:45:20:000000,0.0,0
2019-03-28 15:46:00,28-03-2019,15:46:00:000000,0.0,0
2019-03-28 15:46:40,28-03-2019,15:46:40:000000,0.0,0
2019-03-28 15:47:20,28-03-2019,15:47:20:000000,0.0,0
2019-03-28 15:48:00,28-03-2019,15:48:00:000000,0.0,0
2019-03-28 15:48:40,28-03-2019,15:48:40:000000,0.0,0
2019-03-28 15:49:20,28-03-2019,15:49:20:000000,0.0,0
2019-03-28 15:50:00,28-03-2019,15:50:00:000000,0.0,0
2019-03-28 15:50:40,28-03-2019,15:50:40:000000,0.0,0
2019-03-28 15:51:20,28-03-2019,15:51:20:000000,0.0,0
2019-03-28 15:52:00,28-03-2019,15:52:00:000000,0.0,0
2019-03-28 15:52:40,28-03-2019,15:52:40:000000,0.0,0
2019-03-28 15:53:20,28-03-2019,15:53:20:000000,0.0,0
2019-03-28 15:54:00,28-03-2019,15:54:00:000000,0.0,0
2019-03-28 15:54:40,28-03-2019,15:54:40:000000,0.0,0
2019-03-28 15:55:20,28-03-2019,15:55:20:000000,0.0,0
2019-03-28 15:56:00,28-03-2019,15:56:00:000000,0.0,0
2019-03-28 15:56:40,28-03-2019,15:56:40:000000,0.0,0
2019-03-28 15:57:20,28-03-2019,15:57:20:000000,0.0,0
2019-03-28 15:58:00,28-03-2019,15:58:00:000000,0.0,0
2019-03-28 15:58:40,28-03-2019,15:58:40:000000,0.0,0
2019-03-28 15:59:20,28-03-2019,15:59:20:000000,0.0,0
2019-03-28 16:00:00,28-03-2019,16:00:00:000000,0.0,0
2019-03-28 16:00:40,28-03-2019,16:00:40:000000,0.0,0
2019-03-28 16:01:20,28-03-2019,16:01:20:000000,0.0,0
2019-03-28 16:02:00,28-03-2019,16:02:00:000000,0.0,0
2019-03-28 16:02:40,28-03-2019,16:02:40:000000,0.0,0
2019-03-28 16:03:20,28-03-2019,16:03:20:000000,0.0,0
2019-03-28 16:04:00,28-03-2019,16:04:00:000000,0.0,0
2019-03-28 16:04:40,28-03-2019,16:04:40:000000,0.0,0
2019-03-28 16:05:20,28-03-2019,16:05:20:000000,0.0,0
2019-03-28 16:06:00,28-03-2019,16:06:00:000000,0.0,0
2019-03-28 16:06:40,28-03-2019,16:06:40:000000,0.0,0
2019-03-28 16:07:20,28-03-2019,16:07:20:000000,0.0,0
2019-03-28 16:08:00,28-03-2019,16:08:00:000000,0.0,0
2019-03-28 16:08:40,28-03-2019,16:08:40:000000,0.0,0
2019-03-28 16:09:20,28-03-2019,16:09:20:000000,0.0,0
2019-03-28 16:10:00,28-03-2019,16:10:00:000000,0.0,0
2019-03-28 16:10:40,28-03-2019,16:10:40:000000,0.0,0
2019-03-28 16:11:20,28-03-2019,16:11:20:000000,0.0,0
2019-03-28 16:12:00,28-03-2019,16:12:00:000000,0.0,0
2019-03-28 16:12:40,28-03-2019,16:12:40:000000,0.0,0
2019-03-28 16:13:20,28-03-2019,16:13:20:000000,0.0,0
2019-03-28 16:14:00,28-03-2019,16:14:00:000000,0.0,0
2019-03-28 16:14:40,28-03-2019,16:14:40:000000,0.0,0
2019-03-28 16:15:20,28-03-2019,16:15:20:000000,0.0,0
2019-03-28 16:16:00,28-03-2019,16:16:00:000000,0.0,0
2019-03-28 16:16:40,28-03-2019,16:16:40:000000,0.0,0
2019-03-28 16:17:20,28-03-2019,16:17:20:000000,0.0,0
2019-03-28 16:18:00,28-03-2019,16:18:00:000000,0.0,0
2019-03-28 16:18:40,28-03-2019,16:18:40:000000,0.0,0
2019-03-28 16:19:20,28-03-2019,16:19:20:000000,0.0,0
2019-03-28 16:20:00,28-03-2019,16:20:00:000000,0.0,0
2019-03-28 16:20:40,28-03-2019,16:20:40:000000,0.0,0
2019-03-28 16:21:20,28-03-2019,16:21:20:000000,0.0,0
2019-03-28 16:22:00,28-03-2019,16:22:00:000000,0.0,0
2019-03-28 16:22:40,28-03-2019,16:22:40:000000,0.0,0
2019-03-28 16:23:20,28-03-2019,16:23:20:000000,0.0,0
2019-03-28 16:24:00,28-03-2019,16:24:00:000000,0.0,0
2019-03-28 16:24:40,28-03-2019,16:24:40:000000,0.0,0
2019-03-28 16:25:20,28-03-2019,16:25:20:000000,0.0,0
2019-03-28 16:26:00,28-03-2019,16:26:00:000000,0.0,0
2019-03-28 16:26:40,28-03-2019,16:26:40:000000,0.0,0
2019-03-28 16:27:20,28-03-2019,16:27:20:000000,0.0,0
2019-03-28 16:28:00,28-03-2019,16:28:00:000000,0.0,0
2019-03-28 16:28:40,28-03-2019,16:28:40:000000,0.0,0
2019-03-28 16:29:20,28-03-2019,16:29:20:000000,0.0,0
2019-03-28 16:30:00,28-03-2019,16:30:00:000000,0.0,0
2019-03-28 16:30:40,28-03-2019,16:30:40:000000,0.0,0
2019-03-28 16:31:20,28-03-2019,16:31:20:000000,0.0,0
2019-03-28 16:32:00,28-03-2019,16:32:00:000000,0.0,0
2019-03-28 16:32:40,28-03-2019,16:32:40:000000,0.0,0
2019-03-28 16:33:20,28-03-2019,16:33:20:000000,0.0,0
2019-03-28 16:34:00,28-03-2019,16:34:00:000000,0.0,0
2019-03-28 16:34:40,28-03-2019,16:34:40:000000,0.0,0
2019-03-28 16:35:20,28-03-2019,16:35:20:000000,0.0,0
2019-03-28 16:36:00,28-03-2019,16:36:00:000000,0.0,0
2019-03-28 16:36:40,28-03-2019,16:36:40:000000,0.0,0
2019-03-28 16:37:20,28-03-2019,16:37:20:000000,0.0,0
2019-03-28 16:38:00,28-03-2019,16:38:00:000000,0.0,0
2019-03-28 16:38:40,28-03-2019,16:38:40:000000,0.0,0
2019-03-28 16:39:20,28-03-2019,16:39:20:000000,0.0,0
2019-03-28 16:40:00,28-03-2019,16:40:00:000000,0.0,0
2019-03-28 16:40:40,28-03-2019,16:40:40:000000,0.0,0
2019-03-28 16:41:20,28-03-2019,16:41:20:000000,0.0,0
2019-03-28 16:42:00,28-03-2019,16:42:00:000000,0.0,0
2019-03-28 16:42:40,28-03-2019,16:42:40:000000,0.0,0
2019-03-28 16:43:20,28-03-2019,16:43:20:000000,0.0,0
2019-03-28 16:44:00,28-03-2019,16:44:00:000000,0.0,0
2019-03-28 16:44:40,28-03-2019,16:44:40:000000,0.0,0
2019-03-28 16:45:20,28-03-2019,16:45:20:000000,0.0,0
2019-03-28 16:46:00,28-03-2019,16:46:00:000000,0.0,0
2019-03-28 16:46:40,28-03-2019,16:46:40:000000,0.0,0
2019-03-28 16:47:20,28-03-2019,16:47:20:000000,0.0,0
2019-03-28 16:48:00,28-03-2019,16:48:00:000000,0.0,0
2019-03-28 16:48:40,28-03-2019,16:48:40:000000,0.0,0
2019-03-28 16:49:20,28-03-2019,16:49:20:000000,0.0,0
2019-03-28 16:50:00,28-03-2019,16:50:00:000000,0.0,0
2019-03-28 16:50:40,28-03-2019,16:50:40:000000,0.0,0
2019-03-28 16:51:20,28-03-2019,16:51:20:000000,0.0,0
2019-03-28 16:52:00,28-03-2019,16:52:00:000000,0.0,0
2019-03-28 16:52:40,28-03-2019,16:52:40:000000,0.0,0
2019-03-28 16:53:20,28-03-2019,16:53:20:000000,0.0,0
2019-03-28 16:54:00,28-03-2019,16:54:00:000000,0.0,0
2019-03-28 16:54:40,28-03-2019,16:54:40:000000,0.0,0
2019-03-28 16:55:20,28-03-2019,16:55:20:000000,0.0,0
2019-03-28 16:56:00,28-03-2019,16:56:00:000000,0.0,0
2019-03-28 16:56:40,28-03-2019,16:56:40:000000,0.0,0
2019-03-28 16:57:20,28-03-2019,16:57:20:000000,0.0,0
2019-03-28 16:58:00,28-03-2019,16:58:00:000000,0.0,0
2019-03-28 16:58:40,28-03-2019,16:58:40:000000,0.0,0
2019-03-28 16:59:20,28-03-2019,16:59:20:000000,0.0,0
2019-03-28 17:00:00,28-03-2019,17:00:00:000000,0.0,0
2019-03-28 17:00:40,28-03-2019,17:00:40:000000,0.0,0
2019-03-28 17:01:20,28-03-2019,17:01:20:000000,0.0,0
2019-03-28 17:02:00,28-03-2019,17:02:00:000000,0.0,0
2019-03-28 17:02:40,28-03-2019,17:02:40:000000,0.0,0
2019-03-28 17:03:20,28-03-2019,17:03:20:000000,0.0,0
2019-03-28 17:04:00,28-03-2019,17:04:00:000000,0.0,0
2019-03-28 17:04:40,28-03-2019,17:04:40:000000,0.0,0
2019-03-28 17:05:20,28-03-2019,17:05:20:000000,0.0,0
2019-03-28 17:06:00,28-03-2019,17:06:00:000000,0.0,0
2019-03-28 17:06:40,28-03-2019,17:06:40:000000,0.0,0
2019-03-28 17:07:20,28-03-2019,17:07:20:000000,0.0,0
2019-03-28 17:08:00,28-03-2019,17:08:00:000000,0.0,0
2019-03-28 17:08:40,28-03-2019,17:08:40:000000,0.0,0
2019-03-28 17:09:20,28-03-2019,17:09:20:000000,0.0,0
2019-03-28 17:10:00,28-03-2019,17:10:00:000000,0.0,0
2019-03-28 17:10:40,28-03-2019,17:10:40:000000,0.0,0
2019-03-28 17:11:20,28-03-2019,17:11:20:000000,0.0,0
2019-03-28 17:12:00,28-03-2019,17:12:00:000000,0.0,0
2019-03-28 17:12:40,28-03-2019,17:12:40:000000,0.0,0
2019-03-28 17:13:20,28-03-2019,17:13:20:000000,0.0,0
2019-03-28 17:14:00,28-03-2019,17:14:00:000000,0.0,0
2019-03-28 17:14:40,28-03-2019,17:14:40:000000,0.0,0
2019-03-28 17:15:20,28-03-2019,17:15:20:000000,0.0,0
2019-03-28 17:16:00,28-03-2019,17:16:00:000000,0.0,0
2019-03-28 17:16:40,28-03-2019,17:16:40:000000,0.0,0
2019-03-28 17:17:20,28-03-2019,17:17:20:000000,0.0,0
2019-03-28 17:18:00,28-03-2019,17:18:00:000000,0.0,0
2019-03-28 17:18:40,28-03-2019,17:18:40:000000,0.0,0
2019-03-28 17:19:20,28-03-2019,17:19:20:000000,0.0,0
2019-03-28 17:20:00,28-03-2019,17:20:00:000000,0.0,0
2019-03-28 17:20:40,28-03-2019,17:20:40:000000,0.0,0
2019-03-28 17:21:20,28-03-2019,17:21:20:000000,0.0,0
2019-03-28 17:22:00,28-03-2019,17:22:00:000000,0.0,0
2019-03-28 17:22:40,28-03-2019,17:22:40:000000,0.0,0
2019-03-28 17:23:20,28-03-2019,17:23:20:000000,0.0,0
2019-03-28 17:24:00,28-03-2019,17:24:00:000000,0.0,0
2019-03-28 17:24:40,28-03-2019,17:24:40:000000,0.0,0
2019-03-28 17:25:20,28-03-2019,17:25:20:000000,0.0,0
2019-03-28 17:26:00,28-03-2019,17:26:00:000000,0.0,0
2019-03-28 17:26:40,28-03-2019,17:26:40:000000,0.0,0
2019-03-28 17:27:20,28-03-2019,17:27:20:000000,0.0,0
2019-03-28 17:28:00,28-03-2019,17:28:00:000000,0.0,0
2019-03-28 17:28:40,28-03-2019,17:28:40:000000,0.0,0
2019-03-28 17:29:20,28-03-2019,17:29:20:000000,0.0,0
2019-03-28 17:30:00,28-03-2019,17:30:00:000000,0.0,0
2019-03-28 17:30:40,28-03-2019,17:30:40:000000,0.0,0
2019-03-28 17:31:20,28-03-2019,17:31:20:000000,0.0,0
2019-03-28 17:32:00,28-03-2019,17:32:00:000000,0.0,0
2019-03-28 17:32:40,28-03-2019,17:32:40:000000,0.0,0
2019-03-28 17:33:20,28-03-2019,17:33:20:000000,0.0,0
2019-03-28 17:34:00,28-03-2019,17:34:00:000000,0.0,0
2019-03-28 17:34:40,28-03-2019,17:34:40:000000,0.0,0
2019-03-28 17:35:20,28-03-2019,17:35:20:000000,0.0,0
2019-03-28 17:36:00,28-03-2019,17:36:00:000000,0.0,0
2019-03-28 17:36:40,28-03-2019,17:36:40:000000,0.0,0
2019-03-28 17:37:20,28-03-2019,17:37:20:000000,0.0,0
2019-03-28 17:38:00,28-03-2019,17:38:00:000000,0.0,0
2019-03-28 17:38:40,28-03-2019,17:38:40:000000,0.0,0
2019-03-28 17:39:20,28-03-2019,17:39:20:000000,0.0,0
2019-03-28 17:40:00,28-03-2019,17:40:00:000000,0.0,0
2019-03-28 17:40:40,28-03-2019,17:40:40:000000,0.0,0
2019-03-28 17:41:20,28-03-2019,17:41:20:000000,0.0,0
2019-03-28 17:42:00,28-03-2019,17:42:00:000000,0.0,0
2019-03-28 17:42:40,28-03-2019,17:42:40:000000,0.0,0
2019-03-28 17:43:20,28-03-2019,17:43:20:000000,0.0,0
2019-03-28 17:44:00,28-03-2019,17:44:00:000000,0.0,0
2019-03-28 17:44:40,28-03-2019,17:44:40:000000,0.0,0
2019-03-28 17:45:20,28-03-2019,17:45:20:000000,0.0,0
2019-03-28 17:46:00,28-03-2019,17:46:00:000000,0.0,0
2019-03-28 17:46:40,28-03-2019,17:46:40:000000,0.0,0
2019-03-28 17:47:20,28-03-2019,17:47:20:000000,0.0,0
2019-03-28 17:48:00,28-03-2019,17:48:00:000000,0.0,0
2019-03-28 17:48:40,28-03-2019,17:48:40:000000,2546.5,1
2019-03-28 17:49:20,28-03-2019,17:49:20:000000,2545.25,1
2019-03-28 17:50:00,28-03-2019,17:50:00:000000,2523.0,1
2019-03-28 17:50:40,28-03-2019,17:50:40:000000,2538.75,1
2019-03-28 17:51:20,28-03-2019,17:51:20:000000,2545.3333333333335,1
2019-03-28 17:52:00,28-03-2019,17:52:00:000000,2492.2,1
2019-03-28 17:52:40,28-03-2019,17:52:40:000000,1680.1666666666667,1
2019-03-28 17:53:20,28-03-2019,17:53:20:000000,49.0,1
2019-03-28 17:54:00,28-03-2019,17:54:00:000000,0.0,0
2019-03-28 17:54:40,28-03-2019,17:54:40:000000,0.0,0
2019-03-28 17:55:20,28-03-2019,17:55:20:000000,0.0,0
2019-03-28 17:56:00,28-03-2019,17:56:00:000000,0.0,0
2019-03-28 17:56:40,28-03-2019,17:56:40:000000,0.0,0
2019-03-28 17:57:20,28-03-2019,17:57:20:000000,0.0,0
2019-03-28 17:58:00,28-03-2019,17:58:00:000000,0.0,0
2019-03-28 17:58:40,28-03-2019,17:58:40:000000,0.0,0
2019-03-28 17:59:20,28-03-2019,17:59:20:000000,0.0,0
2019-03-28 18:00:00,28-03-2019,18:00:00:000000,0.0,0
2019-03-28 18:00:40,28-03-2019,18:00:40:000000,0.0,0
2019-03-28 18:01:20,28-03-2019,18:01:20:000000,0.0,0
2019-03-28 18:02:00,28-03-2019,18:02:00:000000,0.0,0
2019-03-28 18:02:40,28-03-2019,18:02:40:000000,0.0,0
2019-03-28 18:03:20,28-03-2019,18:03:20:000000,0.0,0
2019-03-28 18:04:00,28-03-2019,18:04:00:000000,2484.0,1
2019-03-28 18:04:40,28-03-2019,18:04:40:000000,2439.3333333333335,1
2019-03-28 18:05:20,28-03-2019,18:05:20:000000,2507.8571428571427,1
2019-03-28 18:06:00,28-03-2019,18:06:00:000000,2492.4,1
2019-03-28 18:06:40,28-03-2019,18:06:40:000000,2489.3333333333335,1
2019-03-28 18:07:20,28-03-2019,18:07:20:000000,2499.6,1
2019-03-28 18:08:00,28-03-2019,18:08:00:000000,837.3333333333334,1
2019-03-28 18:08:40,28-03-2019,18:08:40:000000,0.0,0
2019-03-28 18:09:20,28-03-2019,18:09:20:000000,0.0,0
2019-03-28 18:10:00,28-03-2019,18:10:00:000000,0.0,0
2019-03-28 18:10:40,28-03-2019,18:10:40:000000,0.0,0
2019-03-28 18:11:20,28-03-2019,18:11:20:000000,0.0,0
2019-03-28 18:12:00,28-03-2019,18:12:00:000000,0.0,0
2019-03-28 18:12:40,28-03-2019,18:12:40:000000,0.0,0
2019-03-28 18:13:20,28-03-2019,18:13:20:000000,0.0,0
2019-03-28 18:14:00,28-03-2019,18:14:00:000000,0.0,0
2019-03-28 18:14:40,28-03-2019,18:14:40:000000,0.0,0
2019-03-28 18:15:20,28-03-2019,18:15:20:000000,0.0,0
2019-03-28 18:16:00,28-03-2019,18:16:00:000000,0.0,0
2019-03-28 18:16:40,28-03-2019,18:16:40:000000,0.0,0
2019-03-28 18:17:20,28-03-2019,18:17:20:000000,2489.0,1
2019-03-28 18:18:00,28-03-2019,18:18:00:000000,2496.5,1
2019-03-28 18:18:40,28-03-2019,18:18:40:000000,2485.6666666666665,1
2019-03-28 18:19:20,28-03-2019,18:19:20:000000,2486.0,1
2019-03-28 18:20:00,28-03-2019,18:20:00:000000,2517.0,1
2019-03-28 18:20:40,28-03-2019,18:20:40:000000,2474.75,1
2019-03-28 18:21:20,28-03-2019,18:21:20:000000,2119.714285714286,1
2019-03-28 18:22:00,28-03-2019,18:22:00:000000,19.0,1
2019-03-28 18:22:40,28-03-2019,18:22:40:000000,0.0,0
2019-03-28 18:23:20,28-03-2019,18:23:20:000000,0.0,0
2019-03-28 18:24:00,28-03-2019,18:24:00:000000,0.0,0
2019-03-28 18:24:40,28-03-2019,18:24:40:000000,0.0,0
2019-03-28 18:25:20,28-03-2019,18:25:20:000000,0.0,0
2019-03-28 18:26:00,28-03-2019,18:26:00:000000,0.0,0
2019-03-28 18:26:40,28-03-2019,18:26:40:000000,0.0,0
2019-03-28 18:27:20,28-03-2019,18:27:20:000000,0.0,0
2019-03-28 18:28:00,28-03-2019,18:28:00:000000,0.0,0
2019-03-28 18:28:40,28-03-2019,18:28:40:000000,0.0,0
2019-03-28 18:29:20,28-03-2019,18:29:20:000000,0.0,0
2019-03-28 18:30:00,28-03-2019,18:30:00:000000,0.0,0
2019-03-28 18:30:40,28-03-2019,18:30:40:000000,0.0,0
2019-03-28 18:31:20,28-03-2019,18:31:20:000000,0.0,0
2019-03-28 18:32:00,28-03-2019,18:32:00:000000,0.0,0
2019-03-28 18:32:40,28-03-2019,18:32:40:000000,0.0,0
2019-03-28 18:33:20,28-03-2019,18:33:20:000000,0.0,0
2019-03-28 18:34:00,28-03-2019,18:34:00:000000,0.0,0
2019-03-28 18:34:40,28-03-2019,18:34:40:000000,0.0,0
2019-03-28 18:35:20,28-03-2019,18:35:20:000000,0.0,0
2019-03-28 18:36:00,28-03-2019,18:36:00:000000,0.0,0
2019-03-28 18:36:40,28-03-2019,18:36:40:000000,0.0,0
2019-03-28 18:37:20,28-03-2019,18:37:20:000000,0.0,0
2019-03-28 18:38:00,28-03-2019,18:38:00:000000,0.0,0
2019-03-28 18:38:40,28-03-2019,18:38:40:000000,2073.3333333333335,1
2019-03-28 18:39:20,28-03-2019,18:39:20:000000,2343.5714285714284,1
2019-03-28 18:40:00,28-03-2019,18:40:00:000000,2363.0,1
2019-03-28 18:40:40,28-03-2019,18:40:40:000000,1590.8333333333333,1
2019-03-28 18:41:20,28-03-2019,18:41:20:000000,0.0,0
2019-03-28 18:42:00,28-03-2019,18:42:00:000000,0.0,0
2019-03-28 18:42:40,28-03-2019,18:42:40:000000,0.0,0
2019-03-28 18:43:20,28-03-2019,18:43:20:000000,0.0,0
2019-03-28 18:44:00,28-03-2019,18:44:00:000000,0.0,0
2019-03-28 18:44:40,28-03-2019,18:44:40:000000,0.0,0
2019-03-28 18:45:20,28-03-2019,18:45:20:000000,0.0,0
2019-03-28 18:46:00,28-03-2019,18:46:00:000000,0.0,0
2019-03-28 18:46:40,28-03-2019,18:46:40:000000,0.0,0
2019-03-28 18:47:20,28-03-2019,18:47:20:000000,0.0,0
2019-03-28 18:48:00,28-03-2019,18:48:00:000000,0.0,0
2019-03-28 18:48:40,28-03-2019,18:48:40:000000,0.0,0
2019-03-28 18:49:20,28-03-2019,18:49:20:000000,0.0,0
2019-03-28 18:50:00,28-03-2019,18:50:00:000000,0.0,0
2019-03-28 18:50:40,28-03-2019,18:50:40:000000,0.0,0
2019-03-28 18:51:20,28-03-2019,18:51:20:000000,0.0,0
2019-03-28 18:52:00,28-03-2019,18:52:00:000000,0.0,0
2019-03-28 18:52:40,28-03-2019,18:52:40:000000,0.0,0
2019-03-28 18:53:20,28-03-2019,18:53:20:000000,0.0,0
2019-03-28 18:54:00,28-03-2019,18:54:00:000000,0.0,0
2019-03-28 18:54:40,28-03-2019,18:54:40:000000,0.0,0
2019-03-28 18:55:20,28-03-2019,18:55:20:000000,0.0,0
2019-03-28 18:56:00,28-03-2019,18:56:00:000000,0.0,0
2019-03-28 18:56:40,28-03-2019,18:56:40:000000,0.0,0
2019-03-28 18:57:20,28-03-2019,18:57:20:000000,0.0,0
2019-03-28 18:58:00,28-03-2019,18:58:00:000000,0.0,0
2019-03-28 18:58:40,28-03-2019,18:58:40:000000,0.0,0
2019-03-28 18:59:20,28-03-2019,18:59:20:000000,0.0,0
2019-03-28 19:00:00,28-03-2019,19:00:00:000000,0.0,0
2019-03-28 19:00:40,28-03-2019,19:00:40:000000,0.0,0
2019-03-28 19:01:20,28-03-2019,19:01:20:000000,0.0,0
2019-03-28 19:02:00,28-03-2019,19:02:00:000000,0.0,0
2019-03-28 19:02:40,28-03-2019,19:02:40:000000,0.0,0
2019-03-28 19:03:20,28-03-2019,19:03:20:000000,0.0,0
2019-03-28 19:04:00,28-03-2019,19:04:00:000000,0.0,0
2019-03-28 19:04:40,28-03-2019,19:04:40:000000,0.0,0
2019-03-28 19:05:20,28-03-2019,19:05:20:000000,0.0,0
2019-03-28 19:06:00,28-03-2019,19:06:00:000000,0.0,0
2019-03-28 19:06:40,28-03-2019,19:06:40:000000,0.0,0
2019-03-28 19:07:20,28-03-2019,19:07:20:000000,0.0,0
2019-03-28 19:08:00,28-03-2019,19:08:00:000000,0.0,0
2019-03-28 19:08:40,28-03-2019,19:08:40:000000,0.0,0
2019-03-28 19:09:20,28-03-2019,19:09:20:000000,0.0,0
2019-03-28 19:10:00,28-03-2019,19:10:00:000000,0.0,0
2019-03-28 19:10:40,28-03-2019,19:10:40:000000,0.0,0
2019-03-28 19:11:20,28-03-2019,19:11:20:000000,0.0,0
2019-03-28 19:12:00,28-03-2019,19:12:00:000000,0.0,0
2019-03-28 19:12:40,28-03-2019,19:12:40:000000,0.0,0
2019-03-28 19:13:20,28-03-2019,19:13:20:000000,0.0,0
2019-03-28 19:14:00,28-03-2019,19:14:00:000000,0.0,0
2019-03-28 19:14:40,28-03-2019,19:14:40:000000,0.0,0
2019-03-28 19:15:20,28-03-2019,19:15:20:000000,0.0,0
2019-03-28 19:16:00,28-03-2019,19:16:00:000000,0.0,0
2019-03-28 19:16:40,28-03-2019,19:16:40:000000,0.0,0
2019-03-28 19:17:20,28-03-2019,19:17:20:000000,0.0,0
2019-03-28 19:18:00,28-03-2019,19:18:00:000000,0.0,0
2019-03-28 19:18:40,28-03-2019,19:18:40:000000,0.0,0
2019-03-28 19:19:20,28-03-2019,19:19:20:000000,0.0,0
2019-03-28 19:20:00,28-03-2019,19:20:00:000000,0.0,0
2019-03-28 19:20:40,28-03-2019,19:20:40:000000,0.0,0
2019-03-28 19:21:20,28-03-2019,19:21:20:000000,0.0,0
2019-03-28 19:22:00,28-03-2019,19:22:00:000000,0.0,0
2019-03-28 19:22:40,28-03-2019,19:22:40:000000,0.0,0
2019-03-28 19:23:20,28-03-2019,19:23:20:000000,0.0,0
